"","contig_id","contig_length","genome_copies","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","provirus","termini","warnings","Annotation","Annotation_lineage"
"33","NODE_1480_length_1261_cov_6_668074_S003-133",1261,1,3,0,0,"Low-quality","Genome-fragment",3.1,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"34","NODE_1_length_40275_cov_1357_690482_S003-13",40275,1,69,28,0,"Complete","High-quality",99.75,"AAI-based",0,"No","77-bp-DTR","","Caudovirales","Caudovirales"
"35","NODE_3_length_13295_cov_32_336133_S003-13",13295,1,18,17,0,"Low-quality","Genome-fragment",37.66,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"36","NODE_4_length_12339_cov_54_233567_S003-13",12339,1,16,7,0,"Low-quality","Genome-fragment",34.91,"AAI-based",0,"No","","","Enterobacteria phage P88","Viruses; Caudovirales; Myoviridae; Peduovirinae; Peduovirus; unclassified Peduovirus"
"37","NODE_11_length_6163_cov_736_087249_S003-13",6163,1,13,9,0,"Low-quality","Genome-fragment",14.5,"AAI-based",0,"No","","","Staphylococcus virus PH15","Viruses; Caudovirales; Siphoviridae; Phietavirus"
"38","NODE_19_length_4032_cov_6_647282_S003-13",4032,1,10,2,0,"Low-quality","Genome-fragment",12.95,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"39","NODE_28_length_3175_cov_2_940930_S003-13",3175,1,10,8,0,"Low-quality","Genome-fragment",7.38,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"40","NODE_32_length_2917_cov_3_074296_S003-13",2917,1,4,4,0,"Low-quality","Genome-fragment",6.88,"AAI-based",0,"No","","","Staphylococcus phage SP120","Viruses; Caudovirales; Siphoviridae; Phietavirus; unclassified Phietavirus"
"41","NODE_42_length_2623_cov_8_705813_S003-13",2623,1,2,2,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Staphylococcus virus 85","Viruses; Caudovirales; Siphoviridae; Phietavirus"
"42","NODE_69_length_1782_cov_4_294428_S003-13",1782,1,3,2,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"43","NODE_119_length_1308_cov_2_456539_S003-13",1308,1,3,3,0,"Low-quality","Genome-fragment",3.06,"AAI-based",0,"No","","","Staphylococcus phage IME1318_01","Viruses; Caudovirales; Siphoviridae; Phietavirus; unclassified Phietavirus"
"44","NODE_2_length_37739_cov_135_077319_S003-141",37739,1,54,33,0,"Complete","High-quality",99.69,"AAI-based",0,"No","77-bp-DTR","","Enterococcus phage phiFL4A","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"45","NODE_6_length_17196_cov_10_222618_S003-141",17196,1,29,4,0,"Low-quality","Genome-fragment",31.67,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"46","NODE_15_length_12978_cov_531_548640_S003-141",12978,1,24,2,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","77-bp-DTR","'predicted termini not supported by estimated completeness'","Streptococcus phage Javan483","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"47","NODE_262_length_3858_cov_3_377678_S003-141",3858,1,7,5,0,"Low-quality","Genome-fragment",9.12,"AAI-based",0,"No","","","Klebsiella phage ST405-OXA48phi1.2","Viruses; Caudovirales; Myoviridae; unclassified Myoviridae"
"48","NODE_544_length_2680_cov_10_419132_S003-141",2680,1,7,0,0,"Low-quality","Genome-fragment",4.93,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"49","NODE_567_length_2615_cov_3_667061_S003-141",2615,1,4,2,0,"Low-quality","Genome-fragment",5.17,"AAI-based",0,"No","","","Klebsiella phage KPP5665-2","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"50","NODE_593_length_2559_cov_2_869057_S003-141",2559,1,5,2,0,"Low-quality","Genome-fragment",6.04,"AAI-based",0,"No","","","Klebsiella phage ST11-VIM1phi8.3","Viruses; Caudovirales; Myoviridae; unclassified Myoviridae"
"51","NODE_886_length_2027_cov_3_625641_S003-141",2027,1,8,0,0,"Low-quality","Genome-fragment",3.16,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"52","NODE_1_length_22080_cov_15_691815_S003-142",22080,1,33,9,0,"Low-quality","Genome-fragment",40.57,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"53","NODE_3_length_18566_cov_12_837092_S003-142",18566,1,25,14,0,"Low-quality","Genome-fragment",34.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"54","NODE_5_length_16155_cov_11_822117_S003-142",16155,1,21,12,0,"Low-quality","Genome-fragment",39.52,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"55","NODE_6_length_15385_cov_13_860138_S003-142",15385,1,23,9,0,"Low-quality","Genome-fragment",28.37,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"56","NODE_11_length_8947_cov_22_095716_S003-142",8947,1,16,2,0,"Low-quality","Genome-fragment",21.48,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"57","NODE_12_length_8916_cov_5_967870_S003-142",8916,1,14,8,0,"Low-quality","Genome-fragment",21.57,"AAI-based",0,"No","","","Enterobacterial phage mEp390","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"58","NODE_20_length_5884_cov_5_563113_S003-142",5884,1,11,6,0,"Low-quality","Genome-fragment",14.75,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"59","NODE_55_length_3082_cov_3_414642_S003-142",3082,1,7,6,0,"Low-quality","Genome-fragment",6.07,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"60","NODE_442_length_1500_cov_6_954322_S003-142",1500,1,3,3,0,"Low-quality","Genome-fragment",3.04,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"61","NODE_492_length_1430_cov_2_746489_S003-142",1430,1,4,1,0,"Low-quality","Genome-fragment",2.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"62","NODE_7_length_5865_cov_7_627505_S003-162",5865,1,8,0,4,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"63","NODE_96_length_3681_cov_10_527747_S003-162",3681,1,9,4,0,"Low-quality","Genome-fragment",10.68,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"64","NODE_169_length_3151_cov_9_853286_S003-162",3151,1,4,3,0,"Low-quality","Genome-fragment",6.9,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"65","NODE_273_length_2817_cov_5_919343_S003-162",2817,1,5,1,0,"Low-quality","Genome-fragment",7.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"66","NODE_329_length_2656_cov_9_381931_S003-162",2656,1,6,2,0,"Low-quality","Genome-fragment",7.67,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"67","NODE_865_length_1983_cov_7_697796_S003-162",1983,1,8,0,0,"Low-quality","Genome-fragment",5.73,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"68","NODE_1476_length_1641_cov_1_904092_S003-162",1641,1,3,1,0,"Low-quality","Genome-fragment",3.25,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"69","NODE_1_length_51148_cov_154_754127_S003-164",51148,1,73,15,6,"High-quality","High-quality",100,"AAI-based",12.02,"Yes","","","NoAnnotation","NoAnnotation"
"70","NODE_2_length_39182_cov_36_335609_S003-164",39182,1,50,39,0,"Complete","High-quality",97.02,"AAI-based",0,"No","77-bp-DTR","","Caudovirales","Caudovirales"
"71","NODE_3_length_26557_cov_20_921299_S003-164",26557,1,47,19,0,"Medium-quality","Genome-fragment",65.81,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"72","NODE_37_length_7433_cov_10_260740_S003-164",7433,1,11,2,0,"Low-quality","Genome-fragment",16.91,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"73","NODE_137_length_4798_cov_9_578267_S003-164",4798,1,8,3,0,"Low-quality","Genome-fragment",11.47,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"74","NODE_176_length_4404_cov_8_685463_S003-164",4404,1,11,3,0,"Low-quality","Genome-fragment",10.46,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"75","NODE_184_length_4319_cov_14_549741_S003-164",4319,1,5,4,0,"Low-quality","Genome-fragment",11.86,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"76","NODE_218_length_4073_cov_10_177177_S003-164",4073,1,13,1,0,"Low-quality","Genome-fragment",10.34,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"77","NODE_543_length_2860_cov_9_311894_S003-164",2860,1,3,2,0,"Low-quality","Genome-fragment",7.85,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"78","NODE_898_length_2258_cov_8_897753_S003-164",2258,1,7,1,0,"Low-quality","Genome-fragment",6.2,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"79","NODE_913_length_2238_cov_6_077742_S003-164",2238,1,4,2,0,"Low-quality","Genome-fragment",6.14,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"80","NODE_954_length_2187_cov_10_862085_S003-164",2187,1,3,1,0,"Low-quality","Genome-fragment",5.98,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"81","NODE_1313_length_1872_cov_8_471866_S003-164",1872,1,3,1,0,"Low-quality","Genome-fragment",4.36,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"82","NODE_1340_length_1854_cov_10_855374_S003-164",1854,1,5,1,0,"Low-quality","Genome-fragment",4.62,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"83","NODE_1469_length_1770_cov_8_626108_S003-164",1770,1,5,3,1,"Low-quality","Genome-fragment",4.99,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"84","NODE_1683_length_1639_cov_2_492958_S003-164",1639,1,3,3,0,"Low-quality","Genome-fragment",2.95,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"85","NODE_1738_length_1616_cov_4_311891_S003-164",1616,1,2,2,0,"Low-quality","Genome-fragment",3.23,"AAI-based",0,"No","","","Salmonella phage vB_SosS_Oslo","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"86","NODE_1995_length_1480_cov_2_427655_S003-164",1480,1,5,2,0,"Low-quality","Genome-fragment",3.52,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"87","NODE_2308_length_1363_cov_4_973561_S003-164",1363,1,3,0,0,"Low-quality","Genome-fragment",3.21,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"88","NODE_3002_length_1163_cov_4_127993_S003-164",1163,1,3,1,0,"Low-quality","Genome-fragment",2.86,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"89","NODE_149_length_5942_cov_14_790452_S003-166",5942,1,13,2,1,"Low-quality","Genome-fragment",18.29,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"90","NODE_231_length_5100_cov_13_801712_S003-166",5100,1,7,2,0,"Low-quality","Genome-fragment",15.71,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"91","NODE_238_length_5035_cov_11_776926_S003-166",5035,1,6,0,1,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"92","NODE_310_length_4471_cov_16_639281_S003-166",4471,1,6,6,0,"Low-quality","Genome-fragment",13.81,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"93","NODE_472_length_3726_cov_8_026309_S003-166",3726,1,4,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"94","NODE_1541_length_2003_cov_3_555036_S003-166",2003,1,3,2,0,"Low-quality","Genome-fragment",4.39,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"95","NODE_143_length_5679_cov_9_374688_S003-169",5679,1,7,0,2,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","NoAnnotation","NoAnnotation"
"96","NODE_228_length_4750_cov_8_794351_S003-169",4750,1,6,0,5,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"97","NODE_385_length_3824_cov_14_097144_S003-169",3824,1,5,0,4,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"98","NODE_409_length_3763_cov_8_134835_S003-169",3763,1,9,2,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"99","NODE_635_length_3092_cov_25_167164_S003-169",3092,1,5,1,0,"Low-quality","Genome-fragment",4.2,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"100","NODE_798_length_2743_cov_5_756564_S003-169",2743,1,11,0,0,"Low-quality","Genome-fragment",4.44,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"101","NODE_866_length_2627_cov_10_569412_S003-169",2627,1,4,2,0,"Low-quality","Genome-fragment",4.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"102","NODE_4_length_6878_cov_17_218497_S003-174",6878,1,12,5,1,"Low-quality","Genome-fragment",11.55,"AAI-based",15.38,"Yes","","","Caudovirales","Caudovirales"
"103","NODE_5_length_6648_cov_14_475727_S003-174",6648,1,8,5,0,"Low-quality","Genome-fragment",15.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"104","NODE_88_length_3679_cov_17_329539_S003-174",3679,1,5,3,0,"Low-quality","Genome-fragment",7.75,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"105","NODE_140_length_3301_cov_6_234181_S003-174",3301,1,4,4,0,"Low-quality","Genome-fragment",6.65,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"106","NODE_168_length_3112_cov_8_583855_S003-174",3112,1,3,1,0,"Low-quality","Genome-fragment",7.27,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"107","NODE_246_length_2734_cov_12_032367_S003-174",2734,1,6,1,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"108","NODE_250_length_2719_cov_7_556775_S003-174",2719,1,6,2,0,"Low-quality","Genome-fragment",23.1,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"109","NODE_276_length_2653_cov_22_836180_S003-174",2653,1,5,1,0,"Low-quality","Genome-fragment",5.18,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"110","NODE_282_length_2638_cov_9_312378_S003-174",2638,1,8,1,0,"Low-quality","Genome-fragment",5.45,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"111","NODE_293_length_2621_cov_13_784198_S003-174",2621,1,4,3,0,"Low-quality","Genome-fragment",5.29,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"112","NODE_318_length_2550_cov_10_477153_S003-174",2550,1,8,1,0,"Low-quality","Genome-fragment",5.31,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"113","NODE_479_length_2208_cov_9_168935_S003-174",2208,1,4,3,0,"Low-quality","Genome-fragment",4.44,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"114","NODE_697_length_1953_cov_8_793177_S003-174",1953,1,5,1,0,"Low-quality","Genome-fragment",4.72,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"115","NODE_765_length_1888_cov_3_823302_S003-174",1888,1,5,1,0,"Low-quality","Genome-fragment",3.07,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"116","NODE_790_length_1872_cov_15_048468_S003-174",1872,1,6,0,0,"Low-quality","Genome-fragment",3.86,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"117","NODE_817_length_1852_cov_6_663662_S003-174",1852,1,5,4,0,"Low-quality","Genome-fragment",4.26,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"118","NODE_820_length_1847_cov_19_168362_S003-174",1847,1,4,1,1,"Low-quality","Genome-fragment",3.7,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"119","NODE_954_length_1757_cov_4_452381_S003-174",1757,1,3,2,0,"Low-quality","Genome-fragment",3.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"120","NODE_1165_length_1618_cov_9_364698_S003-174",1618,1,3,3,0,"Low-quality","Genome-fragment",3.93,"AAI-based",0,"No","","","Escherichia phage HK75","Viruses; Caudovirales; Siphoviridae; Hendrixvirus; Escherichia virus HK75"
"121","NODE_1392_length_1524_cov_11_915688_S003-174",1524,1,3,2,0,"Low-quality","Genome-fragment",3.08,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"122","NODE_1657_length_1422_cov_12_828996_S003-174",1422,1,4,2,0,"Low-quality","Genome-fragment",2.84,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"123","NODE_2497_length_1222_cov_7_126638_S003-174",1222,1,3,1,0,"Low-quality","Genome-fragment",2.1,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"124","NODE_2642_length_1193_cov_8_797491_S003-174",1193,1,3,2,0,"Low-quality","Genome-fragment",1.98,"AAI-based",0,"No","","","Enterobacteria phage JenP1","Viruses; Caudovirales; Siphoviridae; Nonagvirus; Escherichia virus JenP1"
"125","NODE_3128_length_1116_cov_4_228104_S003-174",1116,1,2,2,0,"Low-quality","Genome-fragment",1.86,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"126","NODE_4612_length_951_cov_10_263158_S003-174",951,1,3,1,0,"Low-quality","Genome-fragment",1.95,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"127","NODE_5678_length_873_cov_8_214824_S003-174",873,1,2,1,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","",""
"128","NODE_6220_length_839_cov_8_409449_S003-174",839,1,3,1,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","",""
"129","NODE_6587_length_819_cov_11_109164_S003-174",819,1,3,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","",""
"130","NODE_7617_length_768_cov_8_958032_S003-174",768,1,2,2,0,"Low-quality","Genome-fragment",1.87,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"131","NODE_9203_length_699_cov_9_096463_S003-174",699,1,2,2,0,"Low-quality","Genome-fragment",1.61,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"132","NODE_15312_length_543_cov_10_946352_S003-174",543,1,2,2,0,"Low-quality","Genome-fragment",1.54,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"133","NODE_3_length_35095_cov_25_927866_S003-179",35095,1,52,21,1,"Complete","High-quality",95.65,"AAI-based",0,"No","77-bp-DTR","","Caudovirales","Caudovirales"
"134","NODE_5_length_30670_cov_56_281077_S003-179",30670,1,44,11,0,"Medium-quality","Genome-fragment",73.49,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"135","NODE_14_length_11848_cov_15_898139_S003-179",11848,1,20,11,0,"Low-quality","Genome-fragment",30.67,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"136","NODE_20_length_8220_cov_21_505342_S003-179",8220,1,14,3,0,"Low-quality","Genome-fragment",20.14,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"137","NODE_36_length_4584_cov_6_772354_S003-179",4584,1,10,10,0,"Low-quality","Genome-fragment",13.39,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"138","NODE_54_length_3510_cov_4_272357_S003-179",3510,1,11,5,0,"Low-quality","Genome-fragment",10.22,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"139","NODE_64_length_3251_cov_5_844675_S003-179",3251,1,4,3,0,"Low-quality","Genome-fragment",9.37,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"140","NODE_67_length_3189_cov_3_572301_S003-179",3189,1,4,3,0,"Low-quality","Genome-fragment",5.05,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"141","NODE_68_length_3169_cov_4_492885_S003-179",3169,1,5,3,0,"Low-quality","Genome-fragment",7.24,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"142","NODE_72_length_3061_cov_2_949397_S003-179",3061,1,4,2,0,"Low-quality","Genome-fragment",7.91,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"143","NODE_144_length_1983_cov_5_466946_S003-179",1983,1,3,3,0,"Low-quality","Genome-fragment",5.51,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"144","NODE_147_length_1978_cov_3_385587_S003-179",1978,1,4,2,0,"Low-quality","Genome-fragment",4.77,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"145","NODE_166_length_1855_cov_3_604049_S003-179",1855,1,6,1,0,"Low-quality","Genome-fragment",4.32,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"146","NODE_168_length_1847_cov_4_350847_S003-179",1847,1,3,2,0,"Low-quality","Genome-fragment",5.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"147","NODE_214_length_1554_cov_8_375085_S003-179",1554,1,3,0,0,"Low-quality","Genome-fragment",4.55,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"148","NODE_231_length_1457_cov_3_518841_S003-179",1457,1,3,2,0,"Low-quality","Genome-fragment",3.54,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"149","NODE_259_length_1368_cov_4_677769_S003-179",1368,1,3,2,0,"Low-quality","Genome-fragment",3.9,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"150","NODE_315_length_1139_cov_3_368173_S003-179",1139,1,3,2,0,"Low-quality","Genome-fragment",2.76,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"151","NODE_305_length_3258_cov_9_026092_S003-189",3258,1,3,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
